"name","company","gender","age","age_groups","bookings_cnt","total_spending","users_seg","first_booking_date","latest_booking_date","life_span_years","recency_in_years","avg_booking_value","avg_yearly_spend"
"Wendy Ferguson","Acme Factory","Female",57,"50-59","42","107811.18","VIP","2019-11-14","2022-08-04","2.72","2.62","2566.93","39636.46"
"Jeff Veno","4You","Male",38,"30-39","43","107619.66","VIP","2019-12-12","2022-10-27","2.88","2.39","2502.78","37367.94"
"William Lindsey","Wonka Company","Male",27,"20-29","45","107607.28","VIP","2019-10-17","2022-08-25","2.86","2.56","2391.27","37624.92"
"James Brooks","4You","n/a",46,"40-49","45","107543.45","VIP","2019-10-03","2022-05-26","2.65","2.81","2389.85","40582.43"
"Donald Stallworth","4You","n/a",46,"40-49","43","107523.57","VIP","2019-11-07","2022-08-18","2.78","2.58","2500.55","38677.54"
"Connie Stokes","Wonka Company","Female",27,"20-29","46","107521.83","VIP","2019-11-14","2022-12-15","3.09","2.25","2337.43","34796.71"
"Paula Fleming","Wonka Company","n/a",32,"30-39","46","107414.07","VIP","2019-10-03","2022-08-25","2.90","2.56","2335.09","37039.33"
"Celina Fish","Monsters CYA","n/a",59,"50-59","47","107369.62","VIP","2019-10-24","2023-03-02","3.36","2.04","2284.46","31955.24"
"Kristina Miller","4You","n/a",43,"40-49","46","107272.46","VIP","2019-09-26","2023-03-02","3.43","2.04","2332.01","31274.77"
"Kelly Lafave","Wonka Company","n/a",58,"50-59","46","107253.64","VIP","2019-09-26","2022-03-31","2.51","2.96","2331.60","42730.53"
"Maurice Miles","Wonka Company","n/a",34,"30-39","47","107152.31","VIP","2019-10-24","2022-10-20","2.99","2.41","2279.84","35836.89"
"Jacqueline Thornton","Wonka Company","n/a",64,"60-69","45","107054.17","VIP","2019-10-03","2022-09-01","2.92","2.54","2378.98","36662.39"
"Billie Dwight","4You","Female",48,"40-49","43","107009.07","VIP","2019-09-26","2022-06-02","2.68","2.79","2488.58","39928.76"
"Kenneth Farnsworth","Wonka Company","n/a",33,"30-39","46","106812.36","VIP","2019-10-03","2022-12-01","3.16","2.29","2322.01","33801.38"
"Marvel Gill","Acme Factory","Female",46,"40-49","43","106678.16","VIP","2019-09-26","2022-08-11","2.88","2.60","2480.89","37041.03"
"Anna Willis","Wonka Company","Female",22,"20-29","47","106415.21","VIP","2019-10-10","2022-10-20","3.03","2.41","2264.15","35120.53"
"Scott Chavez","Monsters CYA","Male",36,"30-39","45","106293.96","VIP","2019-09-26","2022-07-28","2.84","2.64","2362.09","37427.45"
"Harold Uren","Wonka Company","Male",50,"50-59","45","106132.00","VIP","2019-10-17","2022-06-23","2.68","2.73","2358.49","39601.49"
"Artie Ladner","Monsters CYA","Female",48,"40-49","42","105897.82","VIP","2019-10-03","2022-09-01","2.92","2.54","2521.38","36266.38"
"Charla Knickerbocker","Umbrella LTDA","n/a",27,"20-29","43","105695.48","VIP","2019-09-26","2023-01-05","3.28","2.20","2458.03","32224.23"
"Charles Lutz","4You","Male",57,"50-59","45","105649.28","VIP","2019-12-05","2022-06-09","2.51","2.77","2347.76","42091.35"
"Annabel Loughran","Umbrella LTDA","Female",23,"20-29","44","105492.59","VIP","2019-10-31","2022-09-22","2.90","2.48","2397.56","36376.76"
"Clifton Parsons","Monsters CYA","Male",45,"40-49","45","105321.56","VIP","2019-10-10","2022-04-28","2.55","2.89","2340.48","41302.57"
"Mary Brumfield","Acme Factory","n/a",30,"30-39","41","105319.99","VIP","2019-10-10","2022-11-24","3.13","2.31","2568.78","33648.56"
"Lori Friedman","4You","Female",62,"60-69","45","105307.40","VIP","2019-10-10","2022-03-24","2.45","2.98","2340.16","42982.61"
"Brett Ahart","Wonka Company","Male",34,"30-39","45","105300.59","VIP","2019-11-07","2023-03-30","3.39","1.97","2340.01","31062.12"
"Philip Rose","4You","Male",48,"40-49","43","105292.85","VIP","2019-10-03","2022-10-27","3.07","2.39","2448.67","34297.35"
"Henry Korczynski","Acme Factory","Male",21,"20-29","41","105209.92","VIP","2019-09-26","2022-04-28","2.59","2.89","2566.10","40621.59"
"Jack Perry","4You","n/a",57,"50-59","45","105187.46","VIP","2019-10-03","2022-08-25","2.90","2.56","2337.50","36271.54"
"Virgie Humphrys","4You","Female",23,"20-29","42","105182.74","VIP","2019-10-10","2021-11-18","2.11","3.33","2504.35","49849.64"
"Chad Treisch","Acme Factory","Male",53,"50-59","42","105163.00","VIP","2019-10-10","2022-06-09","2.67","2.77","2503.88","39386.89"
"Edmund Graham","Monsters CYA","n/a",63,"60-69","46","104912.81","VIP","2019-09-26","2022-12-29","3.26","2.22","2280.71","32181.84"
"Elizabeth Baker","Acme Factory","n/a",59,"50-59","40","104813.60","VIP","2019-10-03","2021-10-07","2.01","3.44","2620.34","52146.07"
"Robert Carrell","Monsters CYA","Male",64,"60-69","46","104763.71","VIP","2019-12-12","2023-01-05","3.07","2.20","2277.47","34124.99"
"Susan Fassino","Umbrella LTDA","Female",29,"20-29","38","104566.72","VIP","2019-11-07","2022-04-14","2.44","2.93","2751.76","42855.21"
"Christina Law","4You","n/a",51,"50-59","41","104494.53","VIP","2019-09-26","2022-02-03","2.36","3.12","2548.65","44277.34"
"Walter Letchworth","4You","Male",35,"30-39","45","104395.49","VIP","2019-09-26","2022-06-30","2.76","2.72","2319.90","37824.45"
"Gertrude Fowler","4You","Female",37,"30-39","43","104323.08","VIP","2019-10-17","2022-05-05","2.55","2.87","2426.12","40911.01"
"Donnie Taylor","Umbrella LTDA","Male",36,"30-39","37","104211.61","VIP","2019-10-10","2022-02-10","2.34","3.10","2816.53","44534.88"
"John Curtiss","Acme Factory","Male",53,"50-59","41","104145.36","VIP","2019-10-10","2023-04-06","3.49","1.95","2540.13","29841.08"
"Christine Lowery","4You","n/a",24,"20-29","41","104143.87","VIP","2019-09-26","2022-09-29","3.01","2.47","2540.09","34599.29"
"Edward Grayson","4You","Male",41,"40-49","40","104123.32","VIP","2019-11-07","2022-07-28","2.72","2.64","2603.08","38280.63"
"Fay Hall","4You","n/a",51,"50-59","39","103863.45","VIP","2019-10-31","2022-04-28","2.49","2.89","2663.17","41712.23"
"John White","Wonka Company","Male",61,"60-69","42","103718.94","VIP","2019-10-03","2022-09-08","2.93","2.52","2469.50","35398.96"
"Michele Alton","Monsters CYA","n/a",64,"60-69","45","103682.53","VIP","2019-10-10","2022-08-25","2.88","2.56","2304.06","36000.88"
"Bernard Park","Wonka Company","Male",48,"40-49","48","103585.34","VIP","2019-09-26","2022-07-07","2.78","2.70","2158.03","37260.91"
"David Rave","Umbrella LTDA","n/a",29,"20-29","40","103438.39","VIP","2019-10-03","2022-07-14","2.78","2.68","2585.96","37208.05"
"Janice Cudney","4You","Female",56,"50-59","47","103351.45","Regular","2019-11-07","2022-07-21","2.70","2.66","2198.97","38278.31"
"Lisa Mottillo","4You","Female",33,"30-39","43","102624.66","Regular","2019-09-26","2022-05-19","2.65","2.83","2386.62","38726.29"
"Brian Walker","Umbrella LTDA","Male",26,"20-29","40","102467.62","Regular","2019-09-26","2022-03-10","2.45","3.02","2561.69","41823.52"
"James Rose","Umbrella LTDA","n/a",51,"50-59","37","102123.93","Regular","2019-10-17","2022-06-09","2.65","2.77","2760.11","38537.33"
"Frank Lopez","Monsters CYA","n/a",39,"30-39","43","102011.35","Regular","2019-10-03","2022-09-01","2.92","2.54","2372.36","34935.39"
"Brent Jaynes","4You","Male",55,"50-59","42","102001.58","Regular","2019-09-26","2022-07-14","2.80","2.68","2428.61","36429.14"
"Daniel Spurlock","Acme Factory","n/a",61,"60-69","41","101936.49","Regular","2019-10-31","2022-04-21","2.47","2.91","2486.26","41269.83"
"William Prahm","4You","Male",27,"20-29","41","101903.78","Regular","2019-10-03","2022-03-24","2.47","2.98","2485.46","41256.59"
"James Lord","4You","Male",32,"30-39","41","101898.89","Regular","2019-09-26","2022-08-25","2.92","2.56","2485.34","34896.88"
"Irene Cavanaugh","Umbrella LTDA","n/a",31,"30-39","41","101872.76","Regular","2019-10-03","2022-11-10","3.11","2.35","2484.70","32756.51"
"Jessica Hoskins","Umbrella LTDA","Female",61,"60-69","40","101702.78","Regular","2019-10-17","2022-02-03","2.30","3.12","2542.57","44218.60"
"Gabriel Mantini","4You","n/a",39,"30-39","42","101594.79","Regular","2019-09-26","2021-12-30","2.26","3.21","2418.92","44953.45"
"Carolyn Caldwell","Acme Factory","Female",31,"30-39","40","101579.41","Regular","2019-09-26","2022-11-03","3.11","2.37","2539.49","32662.19"
"Patricia Pittman","4You","Female",35,"30-39","43","101495.56","Regular","2019-10-03","2022-10-27","3.07","2.39","2360.36","33060.44"
"Julie Berman","4You","Female",51,"50-59","45","101367.54","Regular","2019-10-03","2022-11-24","3.15","2.31","2252.61","32180.17"
"Lisa Martin","4You","Female",46,"40-49","43","101278.62","Regular","2019-10-31","2022-04-21","2.47","2.91","2355.32","41003.49"
"Gary Catania","Umbrella LTDA","n/a",65,"60-69","38","101236.94","Regular","2019-10-31","2022-04-21","2.47","2.91","2664.13","40986.62"
"Kelly Ross","Wonka Company","n/a",44,"40-49","43","101226.51","Regular","2019-09-26","2022-10-06","3.03","2.45","2354.10","33408.09"
"Albert Colley","Acme Factory","n/a",39,"30-39","37","101125.09","Regular","2019-09-26","2021-07-01","1.76","3.71","2733.11","57457.44"
"Sharon Fontenot","Wonka Company","Female",48,"40-49","44","101123.45","Regular","2019-09-26","2022-08-11","2.88","2.60","2298.26","35112.31"
"Hortensia Finch","Acme Factory","Female",62,"60-69","35","100910.55","Regular","2019-10-24","2021-12-09","2.13","3.27","2883.16","47375.85"
"Carolyn Watt","Monsters CYA","n/a",52,"50-59","44","100857.10","Regular","2019-10-10","2022-07-21","2.78","2.66","2292.21","36279.53"
"Alex Fratta","Acme Factory","Male",33,"30-39","37","100795.24","Regular","2019-09-26","2021-10-07","2.03","3.44","2724.20","49652.83"
"Reyna Nelson","Wonka Company","Female",32,"30-39","47","100727.50","Regular","2019-10-10","2023-03-16","3.43","2.01","2143.14","29366.62"
"Robert Wilhite","4You","Male",65,"60-69","40","100491.21","Regular","2019-11-07","2021-12-30","2.15","3.21","2512.28","46740.10"
"Edwina Zamora","Wonka Company","Female",56,"50-59","40","100434.41","Regular","2019-10-10","2022-02-24","2.38","3.06","2510.86","42199.33"
"Abraham Smith","4You","Male",62,"60-69","44","100389.00","Regular","2019-09-26","2022-03-03","2.44","3.04","2281.57","41143.03"
"Andrew Stoddard","Wonka Company","Male",44,"40-49","44","100388.81","Regular","2019-10-10","2022-02-17","2.36","3.08","2281.56","42537.63"
"Eric Galioto","Wonka Company","Male",37,"30-39","39","100346.27","Regular","2019-10-03","2022-03-17","2.45","3.00","2572.98","40957.66"
"Tracy Anderson","Wonka Company","n/a",41,"40-49","46","100163.21","Regular","2019-10-03","2023-03-09","3.43","2.02","2177.46","29202.10"
"Andrew Gonzales","Umbrella LTDA","Male",35,"30-39","40","100081.26","Regular","2019-10-03","2022-02-10","2.36","3.10","2502.03","42407.31"
"Cynthia Espinal","Umbrella LTDA","Female",63,"60-69","38","100041.55","Regular","2019-11-07","2021-10-21","1.96","3.41","2632.67","51041.61"
"Eric Fuller","4You","Male",47,"40-49","43","99914.20","Regular","2019-09-26","2022-07-14","2.80","2.68","2323.59","35683.64"
"Robert Smith","4You","n/a",57,"50-59","43","99892.95","Regular","2019-10-03","2022-03-10","2.44","3.02","2323.09","40939.73"
"Cathy Childs","4You","Female",52,"50-59","44","99780.24","Regular","2019-09-26","2022-03-31","2.51","2.96","2267.73","39753.08"
"Amanda Kohn","Acme Factory","Female",40,"40-49","39","99536.24","Regular","2019-09-26","2021-08-26","1.92","3.56","2552.21","51841.79"
"Vanessa Mckay","Umbrella LTDA","Female",23,"20-29","37","99492.37","Regular","2019-10-03","2022-06-16","2.70","2.75","2688.98","36849.03"
"John Evans","4You","Male",52,"50-59","42","99438.23","Regular","2019-10-03","2022-05-05","2.59","2.87","2367.58","38393.14"
"Edward Amsterdam","Wonka Company","Male",36,"30-39","44","99366.69","Regular","2019-10-31","2022-07-21","2.72","2.66","2258.33","36531.87"
"Thomas Lockman","Monsters CYA","n/a",26,"20-29","44","99320.93","Regular","2019-09-26","2022-07-07","2.78","2.70","2257.29","35726.95"
"Angela Shelby","4You","n/a",26,"20-29","44","99150.86","Regular","2019-09-26","2022-08-04","2.86","2.62","2253.43","34668.13"
"Anthony Mccaslin","4You","Male",54,"50-59","41","99128.72","Regular","2019-10-24","2022-03-24","2.42","2.98","2417.77","40962.28"
"Clarence Gracely","Acme Factory","Male",51,"50-59","37","98518.40","Regular","2019-10-03","2021-10-14","2.03","3.42","2662.66","48531.23"
"Tanya Orourke","4You","n/a",65,"60-69","40","98511.53","Regular","2019-10-31","2022-04-07","2.44","2.95","2462.79","40373.58"
"Monica Chafin","4You","Female",49,"40-49","40","98039.91","Regular","2019-10-10","2022-03-10","2.42","3.02","2451.00","40512.36"
"Rebecca Beach","Acme Factory","n/a",27,"20-29","38","98028.38","Regular","2019-09-26","2021-11-25","2.17","3.31","2579.69","45174.37"
"Maurice Creasey","4You","n/a",38,"30-39","39","97857.41","Regular","2019-10-03","2021-11-25","2.15","3.31","2509.16","45515.07"
"Juan Jaremka","4You","n/a",47,"40-49","37","97798.98","Regular","2019-10-10","2021-11-11","2.09","3.35","2643.22","46793.77"
"Mary Oldham","Acme Factory","n/a",47,"40-49","40","97624.44","Regular","2019-09-26","2022-05-12","2.63","2.85","2440.61","37119.56"
"Linda Brown","Wonka Company","n/a",58,"50-59","40","97399.13","Regular","2019-09-26","2022-01-27","2.34","3.14","2434.98","41623.56"
"Kristyn Vincent","Umbrella LTDA","Female",39,"30-39","37","97382.82","Regular","2019-09-26","2021-05-06","1.61","3.87","2631.97","60486.22"
"Karen Hill","Acme Factory","n/a",27,"20-29","37","97188.46","Regular","2019-10-10","2022-09-29","2.97","2.47","2626.72","32723.39"
"Mary Rivera","4You","Female",37,"30-39","43","97125.83","Regular","2019-09-26","2021-12-23","2.24","3.23","2258.74","43359.75"
"Phillip King","Monsters CYA","n/a",39,"30-39","40","96803.09","Regular","2019-10-10","2022-06-23","2.70","2.73","2420.08","35853.00"
"Brian Thompson","Monsters CYA","n/a",21,"20-29","40","96731.70","Regular","2019-11-28","2022-04-28","2.42","2.89","2418.29","39971.78"
"Donald Anderson","4You","Male",29,"20-29","41","96684.43","Regular","2019-10-24","2021-11-25","2.09","3.31","2358.16","46260.49"
"Dorothy Martin","4You","Female",61,"60-69","43","96260.33","Regular","2019-10-03","2022-06-16","2.70","2.75","2238.61","35651.97"
"Josephine Underwood","Acme Factory","Female",56,"50-59","36","96248.44","Regular","2019-10-03","2021-12-30","2.24","3.21","2673.57","42968.05"
"Jame Weber","Umbrella LTDA","Male",50,"50-59","37","95858.89","Regular","2019-10-03","2021-09-23","1.98","3.48","2590.78","48413.58"
"Anita Petersen","4You","Female",21,"20-29","39","95833.34","Regular","2019-09-26","2022-10-20","3.07","2.41","2457.27","31216.07"
"Lisa Treadway","Acme Factory","Female",31,"30-39","40","95825.62","Regular","2020-01-23","2022-10-27","2.76","2.39","2395.64","34719.43"
"Linda Hill","Acme Factory","n/a",33,"30-39","36","95749.03","Regular","2019-09-26","2021-05-27","1.67","3.81","2659.70","57334.75"
"Daniel Bollman","Monsters CYA","Male",38,"30-39","38","95447.35","Regular","2019-09-26","2022-03-24","2.49","2.98","2511.77","38332.27"
"Marlene Williams","Wonka Company","Female",42,"40-49","41","95365.88","Regular","2019-10-10","2022-03-31","2.47","2.96","2326.00","38609.67"
"Leslie Sandoval","4You","Male",35,"30-39","39","95256.01","Regular","2019-09-26","2022-06-23","2.74","2.73","2442.46","34764.97"
"Marlene Shumpert","Monsters CYA","n/a",42,"40-49","39","95092.38","Regular","2019-11-07","2022-12-08","3.09","2.27","2438.27","30774.23"
"Aaron Feliciano","Wonka Company","Male",60,"60-69","40","95011.89","Regular","2019-10-03","2021-12-16","2.21","3.25","2375.30","42991.81"
"John Watson","Umbrella LTDA","Male",32,"30-39","36","94672.61","Regular","2019-10-10","2022-04-07","2.49","2.95","2629.79","38021.13"
"Dora Vaughn","Umbrella LTDA","n/a",21,"20-29","34","94273.23","Regular","2019-10-17","2021-10-07","1.98","3.44","2772.74","47612.74"
"William Miller","Monsters CYA","Male",57,"50-59","38","93988.97","Regular","2019-10-03","2022-03-24","2.47","2.98","2473.39","38052.21"
"John Millner","Acme Factory","n/a",49,"40-49","36","93963.72","Regular","2019-10-03","2021-08-26","1.90","3.56","2610.10","49454.59"
"Nicholas Fast","Monsters CYA","n/a",55,"50-59","40","93961.01","Regular","2019-10-10","2022-12-15","3.18","2.25","2349.03","29547.49"
"Cynthia Luzar","Monsters CYA","n/a",32,"30-39","41","93853.54","Regular","2019-10-03","2022-03-24","2.47","2.98","2289.11","37997.38"
"Theresa Guttmann","Acme Factory","Female",33,"30-39","37","93755.99","Regular","2019-10-10","2022-01-06","2.24","3.19","2533.95","41855.35"
"Pedro Woodbury","Wonka Company","Male",65,"60-69","41","93597.38","Regular","2019-10-03","2022-05-26","2.65","2.81","2282.86","35319.77"
"Wilma Prescott","Monsters CYA","Female",32,"30-39","38","93547.46","Regular","2019-10-17","2022-04-21","2.51","2.91","2461.78","37269.90"
"Carlos Hernandez","Wonka Company","Male",32,"30-39","39","93434.78","Regular","2019-10-24","2022-03-31","2.44","2.96","2395.76","38292.94"
"Linda Goodson","Wonka Company","Female",51,"50-59","43","93391.62","Regular","2019-09-26","2022-05-26","2.67","2.81","2171.90","34978.13"
"Desmond Claxton","4You","n/a",47,"40-49","39","93385.99","Regular","2019-09-26","2021-07-01","1.76","3.71","2394.51","53060.22"
"Katina Filion","Acme Factory","Female",50,"50-59","33","93135.11","Regular","2019-11-07","2021-12-23","2.13","3.23","2822.28","43725.40"
"Thomas Chary","Wonka Company","Male",23,"20-29","43","92932.27","Regular","2019-10-24","2021-12-30","2.19","3.21","2161.22","42434.83"
"Lisa Strickland","Umbrella LTDA","Female",50,"50-59","36","92882.30","Regular","2019-10-03","2021-08-19","1.88","3.58","2580.06","49405.48"
"Thomas Coleman","Monsters CYA","Male",57,"50-59","40","92653.99","Regular","2019-10-03","2022-04-07","2.51","2.95","2316.35","36913.94"
"Aaron Dunn","4You","n/a",51,"50-59","38","92380.92","Regular","2019-10-03","2022-05-12","2.61","2.85","2431.08","35394.99"
"Joseph Clymer","Wonka Company","Male",38,"30-39","38","92118.82","Regular","2019-11-14","2022-11-17","3.01","2.33","2424.18","30604.26"
"Ramon Santistevan","4You","Male",33,"30-39","37","92065.87","Regular","2019-09-26","2022-02-10","2.38","3.10","2488.27","38683.14"
"Cynthia Starkey","Umbrella LTDA","n/a",59,"50-59","31","92014.40","Regular","2019-10-10","2021-09-16","1.94","3.50","2968.21","47430.10"
"Shannon Buitron","4You","Female",53,"50-59","40","91907.82","Regular","2019-09-26","2022-02-17","2.40","3.08","2297.70","38294.93"
"David Young","Wonka Company","n/a",47,"40-49","35","91629.46","Regular","2019-12-05","2021-12-30","2.07","3.21","2617.98","44265.44"
"Krista Vandyke","Wonka Company","Female",29,"20-29","35","91312.77","Regular","2019-11-28","2022-05-05","2.44","2.87","2608.94","37423.27"
"Veronica Rose","4You","n/a",51,"50-59","41","91311.20","Regular","2019-10-10","2022-07-07","2.74","2.70","2227.10","33325.26"
"Marie Witt","Acme Factory","Female",45,"40-49","34","90829.61","Regular","2019-10-03","2021-08-19","1.88","3.58","2671.46","48313.62"
"Linda Clark","Acme Factory","n/a",55,"50-59","36","90772.10","Regular","2019-09-26","2021-07-15","1.80","3.67","2521.45","50428.94"
"Shani Stutz","Wonka Company","Female",64,"60-69","40","90756.61","Regular","2019-10-03","2021-12-02","2.17","3.29","2268.92","41823.32"
"Kevin Lindholm","4You","Male",28,"20-29","41","90737.47","Regular","2019-09-26","2022-04-28","2.59","2.89","2213.11","35033.77"
"Horace Skillman","Monsters CYA","n/a",64,"60-69","37","90674.55","Regular","2019-09-26","2022-03-31","2.51","2.96","2450.66","36125.32"
"Billy Polly","Umbrella LTDA","Male",46,"40-49","35","90659.00","Regular","2019-09-26","2021-09-16","1.98","3.50","2590.26","45787.37"
"Doris Marsh","4You","Female",48,"40-49","41","90434.81","Regular","2019-09-26","2022-03-24","2.49","2.98","2205.73","36319.20"
"Eddie House","4You","n/a",30,"30-39","35","90414.12","Regular","2019-10-17","2022-04-07","2.47","2.95","2583.26","36604.91"
"Douglas Shields","4You","Male",39,"30-39","40","90361.31","Regular","2019-09-26","2022-04-07","2.53","2.95","2259.03","35715.93"
"Margaret Orellana","Monsters CYA","Female",24,"20-29","42","90179.40","Regular","2019-09-26","2021-09-23","1.99","3.48","2147.13","45316.28"
"Opal Valles","4You","Female",45,"40-49","36","90006.72","Regular","2019-10-10","2021-11-11","2.09","3.35","2500.19","43065.42"
"Arthur Hendrix","Wonka Company","Male",37,"30-39","42","89813.80","Regular","2019-10-17","2022-06-09","2.65","2.77","2138.42","33892.00"
"Tom Salazar","4You","n/a",58,"50-59","40","89774.63","Regular","2019-11-07","2022-03-03","2.32","3.04","2244.37","38695.96"
"Brooke Gilbert","Wonka Company","Female",57,"50-59","41","89713.38","Regular","2019-10-31","2022-06-23","2.65","2.73","2188.13","33854.11"
"Matthew Eskridge","Umbrella LTDA","Male",38,"30-39","32","89390.55","Regular","2019-09-26","2021-12-30","2.26","3.21","2793.45","39553.34"
"Nancy Fanno","Wonka Company","Female",40,"40-49","37","89319.30","Regular","2019-10-31","2022-05-05","2.51","2.87","2414.04","35585.38"
"Helen Baker","Wonka Company","Female",31,"30-39","39","89318.01","Regular","2019-09-26","2021-10-28","2.09","3.39","2290.21","42735.89"
"Bryan Bowers","4You","n/a",23,"20-29","35","89297.64","Regular","2019-10-03","2022-01-20","2.30","3.16","2551.36","38825.06"
"Helen Meyer","Umbrella LTDA","n/a",25,"20-29","34","89112.66","Regular","2019-10-10","2021-04-01","1.48","3.96","2620.96","60211.26"
"Jennifer Ferguson","Acme Factory","n/a",55,"50-59","34","89086.68","Regular","2019-10-03","2021-10-28","2.07","3.39","2620.20","43037.04"
"Monica Briggs","4You","n/a",42,"40-49","39","88958.85","Regular","2019-10-10","2022-07-28","2.80","2.64","2281.00","31771.02"
"Jennifer Robles","Wonka Company","n/a",41,"40-49","39","88953.60","Regular","2019-10-03","2022-02-03","2.34","3.12","2280.86","38014.36"
"Patricia Elwell","4You","Female",40,"40-49","35","88889.90","Regular","2019-10-31","2022-03-03","2.34","3.04","2539.71","37987.14"
"Hillary Young","Wonka Company","n/a",32,"30-39","40","88855.05","Regular","2019-10-17","2022-02-24","2.36","3.06","2221.38","37650.44"
"Melissa Emch","4You","Female",46,"40-49","39","88557.05","Regular","2019-11-14","2022-02-24","2.28","3.06","2270.69","38840.81"
"Everett Schlesener","Wonka Company","Male",57,"50-59","42","88525.97","Regular","2019-10-03","2022-12-29","3.24","2.22","2107.76","27322.83"
"Nathan Kyle","Umbrella LTDA","Male",37,"30-39","33","88458.72","Regular","2019-10-03","2022-06-02","2.67","2.79","2680.57","33130.61"
"Georgia King","Monsters CYA","Female",27,"20-29","39","88299.53","Regular","2019-10-03","2021-12-23","2.22","3.23","2264.09","39774.56"
"Matilda Wright","4You","n/a",44,"40-49","37","88232.00","Regular","2019-09-26","2022-07-07","2.78","2.70","2384.65","31738.13"
"Della Gomez","Monsters CYA","n/a",52,"50-59","37","87957.60","Regular","2019-10-10","2022-07-14","2.76","2.68","2377.23","31868.70"
"Earl Traina","Monsters CYA","n/a",42,"40-49","37","87888.33","Regular","2019-10-03","2021-09-09","1.94","3.52","2375.36","45303.26"
"Tanya Donahue","4You","n/a",36,"30-39","38","87851.29","Regular","2019-10-10","2022-02-03","2.32","3.12","2311.88","37866.94"
"Mark Brownfield","Acme Factory","Male",63,"60-69","35","87817.05","Regular","2019-11-28","2022-01-20","2.15","3.16","2509.06","40845.14"
"Carla Puskar","4You","Female",36,"30-39","36","87784.38","Regular","2019-10-31","2022-05-19","2.55","2.83","2438.46","34425.25"
"Maynard Murray","4You","n/a",33,"30-39","36","87748.07","Regular","2019-10-31","2021-08-05","1.76","3.62","2437.45","49856.86"
"Betty Dietrick","4You","n/a",50,"50-59","36","87693.03","Regular","2019-10-03","2021-12-30","2.24","3.21","2435.92","39148.67"
"Isiah Enriquez","Monsters CYA","Male",53,"50-59","35","87631.22","Regular","2019-09-26","2021-09-23","1.99","3.48","2503.75","44035.79"
"David Ray","4You","n/a",32,"30-39","35","87317.54","Regular","2019-10-24","2022-09-29","2.93","2.47","2494.79","29801.21"
"Jose Bowen","Wonka Company","Male",65,"60-69","41","87112.44","Regular","2019-10-03","2022-04-28","2.57","2.89","2124.69","33895.89"
"Brittany Brahler","4You","n/a",60,"60-69","37","87029.01","Regular","2019-10-24","2021-11-25","2.09","3.31","2352.14","41640.67"
"Robert Santos","Monsters CYA","Male",36,"30-39","35","86697.51","Regular","2019-10-03","2022-05-26","2.65","2.81","2477.07","32716.04"
"Jennie Klein","Monsters CYA","Female",35,"30-39","36","86597.40","Regular","2019-10-03","2021-10-28","2.07","3.39","2405.48","41834.49"
"Thelma Dillinger","Monsters CYA","n/a",61,"60-69","36","86564.94","Regular","2019-09-26","2021-12-16","2.22","3.25","2404.58","38993.22"
"Randall Wison","4You","n/a",21,"20-29","37","86495.97","Regular","2019-09-26","2021-12-16","2.22","3.25","2337.73","38962.15"
"Lan Brown","Umbrella LTDA","n/a",37,"30-39","33","86401.37","Regular","2019-10-03","2021-09-16","1.96","3.50","2618.22","44082.33"
"Charles Gibbons","Acme Factory","Male",44,"40-49","35","86265.32","Regular","2019-09-26","2022-02-03","2.36","3.12","2464.72","36553.10"
"Gary Heard","Wonka Company","Male",53,"50-59","37","86135.31","Regular","2019-09-26","2022-03-10","2.45","3.02","2327.98","35157.27"
"Agnes Allen","Acme Factory","Female",61,"60-69","29","85886.22","Regular","2019-10-10","2022-03-03","2.40","3.04","2961.59","35785.93"
"Janet Briggs","Wonka Company","n/a",45,"40-49","35","85815.69","Regular","2019-10-10","2022-04-14","2.51","2.93","2451.88","34189.52"
"Louise Hoffman","Wonka Company","Female",58,"50-59","36","85684.73","Regular","2019-09-26","2022-01-13","2.30","3.18","2380.13","37254.23"
"Wilma Mcinnis","4You","Female",48,"40-49","36","85659.85","Regular","2019-10-31","2022-03-24","2.40","2.98","2379.44","35691.60"
"Phyllis Flynn","Acme Factory","Female",36,"30-39","30","85456.24","Regular","2019-11-21","2021-07-22","1.67","3.65","2848.54","51171.40"
"Doris Wendt","Umbrella LTDA","Female",51,"50-59","35","85414.16","Regular","2019-09-26","2021-09-09","1.96","3.52","2440.40","43578.65"
"Carrie Weir","Acme Factory","Female",43,"40-49","33","85395.67","Regular","2019-09-26","2021-11-11","2.13","3.35","2587.75","40091.86"
"David Huerta","4You","n/a",31,"30-39","31","85107.52","Regular","2019-10-03","2021-09-09","1.94","3.52","2745.40","43869.86"
"Jeffrey Forester","4You","Male",57,"50-59","34","85090.02","Regular","2019-10-31","2022-06-09","2.61","2.77","2502.65","32601.54"
"Daniel Terry","Umbrella LTDA","Male",32,"30-39","33","84864.06","Regular","2019-10-03","2021-11-04","2.09","3.37","2571.64","40604.81"
"Andy Skidmore","4You","n/a",39,"30-39","36","84765.74","Regular","2019-10-10","2022-05-19","2.61","2.83","2354.60","32477.30"
"Ethel Duffy","4You","Female",34,"30-39","39","84729.51","Regular","2019-10-10","2022-05-12","2.59","2.85","2172.55","32714.10"
"Cecil Bronson","Umbrella LTDA","n/a",51,"50-59","33","84573.41","Regular","2019-09-26","2022-03-24","2.49","2.98","2562.83","33965.22"
"Carolyn Nielsen","Wonka Company","n/a",63,"60-69","35","84490.67","Regular","2019-11-28","2021-08-26","1.75","3.56","2414.02","48280.38"
